"Word","IdNum","Class","HeadCnt","MannLog"
"                     Liebe",22963,"N",5,2.0569
"                     Likoer",23056,"N",5,0.301
"                     Limes",23071,"N",5,0.4771
"                     Linde",23081,"N",5,1.2553
"                     Linie",23101,"N",5,2.0453
"                     Linke",23112,"N",5,1
"                     Linke",23113,"N",5,1
"                     Linse",23140,"N",5,0.301
"                     Lippe",23148,"N",5,1.5563
"                     Liste",23166,"N",5,1.4472
"                     Liter",23175,"N",5,1.5051
"                     Logik",23279,"N",5,1
"                     Lokal",23305,"N",5,1.2304
"                     Lotse",23399,"N",5,0.6021
"                     Lotto",23411,"N",5,0.699
"                     Lotus",23414,"N",5,0.301
"                     Loewin",23424,"N",5,0.6021
"                     Lunch",23527,"N",5,0.4771
"                     Lunge",23529,"N",5,0.8451
"                     Luxus",23583,"N",5,0.699
"                     Lyrik",23610,"N",5,1.2788
"                     Macht",23627,"N",5,2.243
"                     Maedel",23651,"N",5,0.9031
"                     Magen",23668,"N",5,1.1139
"                     Magie",23686,"N",5,0.4771
"                     Mainz",23739,"N",5,1.5563
"                     Major",23749,"N",5,1.1761
"                     Makel",23759,"N",5,0.301
"                     Maler",23780,"N",5,1.5185
"                     Mappe",23896,"N",5,0.7782
"                     Marke",23936,"N",5,0.9031
"                     Markt",23949,"N",5,2.017
"                     Maske",24013,"N",5,0.8451
"                     Masse",24033,"N",5,1.8388
"                     Match",24066,"N",5,0.301
"                     Matte",24099,"N",5,0.4771
"                     Mauer",24107,"N",5,1.7324
"                     Meier",24269,"N",5,0.4771
"                     Meile",24273,"N",5,1.1461
"                     Menge",24392,"N",5,1.9345
"                     Messe",24496,"N",5,1.5563
"                     Meter",24573,"N",5,2.3243
"                     Metro",24600,"N",5,0.301
"                     Meute",24621,"N",5,0.6021
"                     Miene",24638,"N",5,1.1461
"                     Miete",24645,"N",5,1.5185
"                     Milch",24677,"N",5,1.6335
"                     Mitte",25052,"N",5,2.1271
"                     Mixer",25139,"N",5,0.4771
"                     Moebel",25146,"N",5,1.3617
"                     Modus",25216,"N",5,0.301
"                     Moehre",25238,"N",5,0.4771
"                     Mokka",25244,"N",5,0.6021
"                     Molch",25249,"N",5,0.301
"                     Monat",25274,"N",5,2.5185
"                     Moench",25282,"N",5,1.3979
"                     Moped",25390,"N",5,0.4771
"                     Moral",25395,"N",5,1.3222
"                     Motiv",25507,"N",5,1.6532
"                     Motor",25511,"N",5,1.9731
"                     Motto",25532,"N",5,1.1139
"                     Muehle",25562,"N",5,0.9542
"                     Mulde",25572,"N",5,0.6021
"                     Muenze",25650,"N",5,1.2553
"                     Musik",25682,"N",5,2.0792
"                     Mutti",25783,"N",5,0.6021
"                     Muetze",25792,"N",5,1.0414
"                     Nabel",25825,"N",5,0.301
"                     Nacht",26004,"N",5,2.2068
"                     Nadel",26087,"N",5,0.7782
"                     Nagel",26101,"N",5,1.0792
"                     Narbe",26200,"N",5,0.9542
"                     Naesse",26274,"N",5,0.301
"                     Natur",26330,"N",5,2.0755
"                     Nebel",26407,"N",5,1.3802
"                     Neffe",26467,"N",5,0.8451
"                     Neger",26472,"N",5,1.0414
"                     Neige",26503,"N",5,0.301
"                     Nelke",26515,"N",5,0.6021
"                     Niere",26861,"N",5,0.699
"                     Niete",26876,"N",5,0.301
"                     Nobel",26934,"N",5,0.301
"                     Nonne",26979,"N",5,1.1139
"                     Notar",27061,"N",5,0.9542
"                     Notiz",27094,"N",5,1.1461
"                     Nylon",27226,"N",5,0.4771
"                     Obhut",27313,"N",5,0.7782
"                     Ochse",27371,"N",5,0.699
"                     Olive",27514,"N",5,0.301
"                     Onkel",27553,"N",5,1.3802
"                     Opfer",27580,"N",5,2.0492
"                     Optik",27605,"N",5,0.7782
"                     Orden",27636,"N",5,1.1761
"                     Order",27646,"N",5,0.6021
"                     Organ",27659,"N",5,1.7404
"                     Orgel",27675,"N",5,0.6021
"                     Orgie",27680,"N",5,0.4771
"                     Osten",27746,"N",5,1.9494
"                     Ozean",27795,"N",5,1.1139
"                     Pacht",27816,"N",5,0.6021
"                     Paket",27852,"N",5,1.1139
"                     Palme",27875,"N",5,0.4771
"                     Pampa",27881,"N",5,0.6021
"                     Panik",27895,"N",5,0.8451
"                     Panne",27902,"N",5,0.9031
"                     Pappe",27955,"N",5,0.699
"                     Papst",27964,"N",5,1.7993
"                     Paris",28040,"N",5,2.3874
"                     Party",28109,"N",5,1.1461
"                     Pater",28179,"N",5,0.699
"                     Pauke",28231,"N",5,0.301
"                     Pause",28243,"N",5,1.6335
"                     Pedal",28261,"N",5,0.6021
"                     Pelle",28298,"N",5,0.301
"                     Perle",28378,"N",5,0.7782
"                     Peter",28473,"N",5,2.0212
"                     Pfalz",28489,"N",5,1.301
"                     Pfeil",28532,"N",5,1.0414
"                     Pferd",28546,"N",5,1.8129
"                     Pfiff",28558,"N",5,0.9031
"                     Pflug",28634,"N",5,0.699
"                     Pfund",28646,"N",5,1.699
"                     Phase",28694,"N",5,1.5798
"                     Photo",28760,"N",5,0.301
"                     Pille",28869,"N",5,1.0792
"                     Pilot",28871,"N",5,1.4314
"                     Pinie",28880,"N",5,0.301
"                     Piste",28903,"N",5,0.8451
"                     Plane",28925,"N",5,0.7782
"                     Plast",28954,"N",5,0.699
"                     Platz",28981,"N",5,2.415
"                     Pokal",29123,"N",5,1
"                     Porto",29248,"N",5,0.7782
"                     Preis",29493,"N",5,2.4249
"                     Prinz",29596,"N",5,1.8129
"                     Probe",29658,"N",5,1.301
"                     Profi",29724,"N",5,0.7782
"                     Prosa",29837,"N",5,0.699
"                     Pudel",29993,"N",5,0.301
"                     Pumpe",30046,"N",5,0.4771
"                     Punkt",30054,"N",5,2.4281
"                     Puppe",30081,"N",5,0.9542
"                     Qualm",30179,"N",5,0.6021
"                     Quote",30305,"N",5,0.8451
"                     Rache",30329,"N",5,1.0414
"                     Radar",30348,"N",5,0.301
"                     Radio",30386,"N",5,1.7924
"                     Rampe",30478,"N",5,0.699
